INFO 2025-08-28 19:04:04,906 autoreload 66625 8530314688 Watching for file changes with StatReloader
WARNING 2025-08-28 19:04:11,684 log 66625 6133346304 Not Found: /
WARNING 2025-08-28 19:04:11,684 basehttp 66625 6133346304 "GET / HTTP/1.1" 404 3842
WARNING 2025-08-28 19:04:16,782 log 66625 6133346304 Not Found: /sms_portal/send/otp/
WARNING 2025-08-28 19:04:16,782 basehttp 66625 6133346304 "POST /sms_portal/send/otp/ HTTP/1.1" 404 3921
WARNING 2025-08-28 19:04:22,524 log 66625 6133346304 Unauthorized: /api/v1/sms/send/otp/
WARNING 2025-08-28 19:04:22,524 basehttp 66625 6133346304 "POST /api/v1/sms/send/otp/ HTTP/1.1" 401 58
INFO 2025-08-29 03:43:21,205 autoreload 15400 8530314688 Watching for file changes with StatReloader
WARNING 2025-08-29 03:44:36,900 log 15400 6125613056 Unauthorized: /api/v1/sms/send/otp/
WARNING 2025-08-29 03:44:36,901 basehttp 15400 6125613056 "POST /api/v1/sms/send/otp/ HTTP/1.1" 401 58
INFO 2025-08-29 03:49:21,992 autoreload 15400 8530314688 /Users/thulanimoyo/MEGA downloads/new downloads/BIDR_Backend/notifications_service/sms_portal/views.py changed, reloading.
INFO 2025-08-29 03:49:22,359 autoreload 18001 8530314688 Watching for file changes with StatReloader
INFO 2025-08-29 03:49:22,465 autoreload 66625 8530314688 /Users/thulanimoyo/MEGA downloads/new downloads/BIDR_Backend/notifications_service/sms_portal/views.py changed, reloading.
INFO 2025-08-29 03:49:22,754 autoreload 18002 8530314688 Watching for file changes with StatReloader
INFO 2025-08-29 03:49:30,322 basehttp 18002 6135394304 "POST /api/v1/sms/send/otp/ HTTP/1.1" 200 260
WARNING 2025-08-29 03:59:00,943 log 18001 6188904448 Bad Request: /api/v1/sms/send/otp/
WARNING 2025-08-29 03:59:00,944 basehttp 18001 6188904448 "POST /api/v1/sms/send/otp/ HTTP/1.1" 400 70
INFO 2025-08-29 04:04:24,590 autoreload 18002 8530314688 /Users/thulanimoyo/MEGA downloads/new downloads/BIDR_Backend/notifications_service/sms_portal/serializers.py changed, reloading.
INFO 2025-08-29 04:04:24,633 autoreload 18001 8530314688 /Users/thulanimoyo/MEGA downloads/new downloads/BIDR_Backend/notifications_service/sms_portal/serializers.py changed, reloading.
INFO 2025-08-29 04:04:24,983 autoreload 25571 8530314688 Watching for file changes with StatReloader
INFO 2025-08-29 04:04:24,983 autoreload 25572 8530314688 Watching for file changes with StatReloader
INFO 2025-08-29 04:04:41,687 autoreload 25571 8530314688 /Users/thulanimoyo/MEGA downloads/new downloads/BIDR_Backend/notifications_service/sms_portal/serializers.py changed, reloading.
INFO 2025-08-29 04:04:42,029 autoreload 25754 8530314688 Watching for file changes with StatReloader
INFO 2025-08-29 04:04:42,519 autoreload 25572 8530314688 /Users/thulanimoyo/MEGA downloads/new downloads/BIDR_Backend/notifications_service/sms_portal/serializers.py changed, reloading.
INFO 2025-08-29 04:04:42,734 autoreload 25761 8530314688 Watching for file changes with StatReloader
INFO 2025-08-29 04:05:00,811 autoreload 25754 8530314688 /Users/thulanimoyo/MEGA downloads/new downloads/BIDR_Backend/notifications_service/sms_portal/serializers.py changed, reloading.
